S No.,Reference,Value,Product Name,Note,Quantity,Cost,Link
1,SPI_SCREEN1,Conn_01x07,Connector PinSocket P2.54mm Vertical 1x7,"On Top PCB, for SPI Screen",1,0.09US$,https://robocraze.com/products/40x1-female-berg-strip
2,,,1.3 Inch 240X240 SPI SCREEN,"Not on PCB, External",1,9.5 US$,https://www.waveshare.com/1.3inch-lcd-module.htm
3,U3,ESP32-C3-DevKitM-1,ESP 32 C3 DEVKIT M1,On Bottom PCB,1,10.11US$,https://www.electropi.in/espressif-esp32-c3-devkitm-1-n4x-development-board
4,"J1, J2",Conn_01x15,Connector PinSocket 1x15_P2.54mmVertical,"On Lower side of Top PCB, for ESP",2,0.09US$,https://robocraze.com/products/40x1-female-berg-strip?_pos=3&_sid=d12dcc8d2&_ss=r
5,"J7,J8,J9,J10",Conn_01x01,Connector PinHeader1x01_P1mm_Vertical,"On Bottom PCB, for MT3608",4,0.06US$,https://robocraze.com/products/40x1-pin-2-54mm-pitch-male-berg-strip
6,,,MT3608,"Not on PCB, External",1,0.47US$,https://www.flyrobo.in/mt3608-2a-dc-dc-boost-ultra-power-module
7,MPU6050,Conn_01x08,Connector PinHeader1x08_P2.54mmVertical,"On Bottom PCB, for MPU6050",1,0.06US$,https://robocraze.com/products/40x1-pin-2-54mm-pitch-male-berg-strip
8,,,MPU6050,"Not on PCB, External",1,1.63US$,https://robocraze.com/products/mpu-6050-triple-axis-accelerometer-gyroscope-module
9,"J5,J6,J11,J12",Conn_01x01,Connector PinHeader1x01_P1mm Vertical,"On Bottom PCB, for TP4056",4,0.06US$,https://robocraze.com/products/40x1-pin-2-54mm-pitch-male-berg-strip
10,,,TP4056,"Not on PCB, External",1,0.17US$,https://quartzcomponents.com/products/tp4056-battery-charging-module
11,S1,"Tactile Button, 160gf",PCM_JLCPCB:SW_TS-1088-AR02016,"On Bottom PCB, ESP ON Switch",1,0.06US$,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477
12,SW1,SW_Slide_DPDT,Button_Switch_SMD:SW_SPDT_PCM12,"On Bottom PCB, Power ON/OFF",1,1.2US$,https://www.digikey.in/en/products/detail/c-k/PCM12SMTR/1640112
13,Battery1,Conn_01x02,Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,"On Bottom PCB, for Battery",1,0.05US$,https://robu.in/product/b2b-xh-alfsn-jst-1x2p-2p-xh-tin-2-25%E2%84%8385%E2%84%83-3a-1-2-5mm-brass-direct-insert-pluginp2-5mm-wire-to-board-connector-rohs/
14,,,Battery,"Not on PCB, External",1,1.69US$,https://robocraze.com/products/450mah-3-7v-lipo-rechargeable-battery
15,C1,0.1uF,Capacitor_SMD:C_0603_1608Metric,"On Bottom PCB, Decoupling Capacitor",1,0.04US$,https://robu.in/product/0603b104j500nt-fh-50v-100nf-x7r%C2%B15-0603-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/
16,,,PCBs,,2,2US$,https://cart.jlcpcb.com/quote
17,,,3D-Printing Case,,1,4US$,https://zbotic.in/product/online-3d-printing-service
18,,,Leather Strap,,1,0.4$,https://www.desertcart.in/products/425174482-genuine-leather-strip-1-2-inch-wide-72-inches-long
,,,,,,,
,,,Total: ,,26,31.68 US$,
